,Name,bhandhlyp-d3bj-DFT-forward,bhandhlyp-d3bj-DFT-reverse,bhandhlyp-d3bj-DFT-reaction,cam-b3lyp-DFT-forward,cam-b3lyp-DFT-reverse,cam-b3lyp-DFT-reaction,cam-b3lyp-d3bj-DFT-forward,cam-b3lyp-d3bj-DFT-reverse,cam-b3lyp-d3bj-DFT-reaction,blyp-DFT-forward,blyp-DFT-reverse,blyp-DFT-reaction,b3lyp-DFT-forward,b3lyp-DFT-reverse,b3lyp-DFT-reaction,bhandhlyp-DFT-forward,bhandhlyp-DFT-reverse,bhandhlyp-DFT-reaction,blyp-d3bj-DFT-forward,blyp-d3bj-DFT-reverse,blyp-d3bj-DFT-reaction,b3lyp-d3bj-DFT-forward,b3lyp-d3bj-DFT-reverse,b3lyp-d3bj-DFT-reaction,Range_DFT_forward,Std_DFT_forward,Range_DFT_reverse,Std_DFT_reverse,Range_DFT_reaction,Std_DFT_reaction
28,rxn_1466,13.956,55.607,-41.651,19.699,54.266,-34.566,10.546,54.585,-44.038,20.178,44.161,-23.983,21.771,48.852,-27.081,25.703,55.594,-29.89,2.035,43.996,-41.961,6.665,48.779,-42.114,23.668,8.174404398355708,11.610999999999997,4.937317779639351,20.054999999999996,7.854761849622539
29,rxn_1469,13.667,55.875,-42.208,21.969,56.018,-34.049,10.649,55.438,-44.789,22.683,45.207,-22.524,24.044,49.978,-25.934,27.656,56.629,-28.972,1.182,43.908,-42.726,6.084,48.918,-42.834,26.474,9.508157756819742,12.720999999999997,5.1767453906180965,22.265,8.79846067705677
30,rxn_1479,22.998,58.846,-35.848,32.65,57.167,-24.517,19.707,58.358,-38.651,34.055,45.455,-11.401,35.231,50.512,-15.281,38.599,57.316,-18.717,10.207,47.734,-37.526,15.241,52.423,-37.181,28.391999999999996,10.466144753441927,13.390999999999998,5.185708573639121,27.250000000000004,11.2294327645828
31,rxn_1480,16.245,52.032,-35.787,27.103,52.568,-25.466,12.94,51.823,-38.883,29.484,42.229,-12.745,30.199,46.663,-16.465,33.185,53.013,-19.828,3.617,40.549,-36.932,8.512,45.297,-36.785,29.568,11.227369275092261,12.463999999999999,4.99687018471134,26.138000000000005,10.521095555902368
32,rxn_1495,13.355,56.496,-43.141,23.125,56.446,-33.32,10.467,55.997,-45.53,25.013,45.733,-20.72,25.822,50.504,-24.682,28.771,57.114,-28.343,1.391,44.606,-43.215,6.052,49.598,-43.545,27.380000000000003,10.261381249269375,12.507999999999996,5.127427334582966,24.810000000000002,9.815431378337742
33,rxn_1536,16.871,46.633,-29.762,23.389,46.695,-23.306,15.623,45.427,-29.804,23.257,28.118,-4.862,23.787,36.882,-13.096,27.245,48.327,-21.082,7.091,25.453,-18.362,10.381,34.681,-24.301,20.154,7.1509952753845,22.874,9.030487710290862,24.942,8.442283009394691
34,rxn_1606,19.516,50.275,-30.759,25.894,50.356,-24.462,18.267,48.92,-30.653,26.671,32.706,-6.035,26.854,41.252,-14.398,29.808,52.266,-22.458,10.614,29.537,-18.923,13.542,38.644,-25.102,19.194,6.967998457232895,22.729,8.760221132238287,24.724,8.352413231259233
35,rxn_1708,19.864,49.128,-29.263,26.582,48.784,-22.203,18.354,47.74,-29.386,26.098,29.389,-3.291,26.828,38.555,-11.727,30.618,50.507,-19.89,9.421,27.212,-17.79,12.959,36.759,-23.799,21.197,7.461472930039638,23.294999999999998,9.345383699987925,26.095,8.822347516190268
36,rxn_1779,18.578,47.166,-28.588,24.963,46.927,-21.964,17.121,45.838,-28.717,24.972,27.975,-3.002,25.426,36.9,-11.474,28.881,48.566,-19.685,8.981,25.784,-16.803,12.138,35.086,-22.948,19.9,7.0818225055419175,22.782000000000004,9.126897779170564,25.715,8.688417592856432
37,rxn_1801,13.677,53.841,-40.164,17.979,53.35,-35.371,12.746,52.354,-39.609,17.432,36.699,-19.267,17.975,44.814,-26.839,21.084,55.221,-34.138,5.789,34.526,-28.737,8.364,43.022,-34.658,15.295,5.254886752891473,20.694999999999993,8.151214229224642,20.897000000000002,7.0304609569968575
38,rxn_1814,15.435,52.353,-36.919,19.169,51.687,-32.518,14.502,50.872,-36.37,18.777,34.696,-15.919,19.231,42.948,-23.717,22.272,53.475,-31.202,7.958,32.912,-24.954,10.33,41.48,-31.15,14.313999999999998,4.882976895003996,20.563000000000002,8.228517353647966,20.999999999999996,7.113344902113813
39,rxn_1886,23.81,54.26,-30.451,30.762,53.27,-22.508,22.212,52.489,-30.278,31.323,34.807,-3.484,31.754,43.794,-12.04,35.134,55.387,-20.253,13.705,33.002,-19.297,17.114,42.317,-25.203,21.429000000000002,7.711079093467677,22.384999999999998,8.974135720422964,26.967,9.12904710643058
40,rxn_1919,18.876,44.717,-25.841,24.511,44.327,-19.816,17.62,43.521,-25.901,22.804,23.974,-1.17,23.898,33.37,-9.472,28.046,45.568,-17.522,8.471,22.646,-14.174,12.018,32.256,-20.238,19.575,6.654091716487575,22.921999999999997,9.536531683666311,24.731,8.3741846639368
41,rxn_2012,18.339,51.779,-33.44,23.186,50.851,-27.665,16.731,49.72,-32.989,23.215,33.131,-9.917,23.797,41.776,-17.979,27.343,53.395,-26.052,9.066,30.537,-21.471,12.112,39.649,-27.538,18.277,6.315737666168311,22.858000000000004,8.876369862087286,23.522999999999996,7.909002012851287
42,rxn_2211,26.305,59.97,-33.665,29.64,58.27,-28.63,24.438,57.509,-33.071,28.726,39.812,-11.086,29.786,48.984,-19.198,33.75,61.066,-27.315,17.006,38.061,-21.055,20.119,47.549,-27.43,16.744,5.512277536813358,23.005000000000003,9.136044031941365,22.579,7.627273464351465
43,rxn_2260,14.03,57.012,-42.981,23.474,55.428,-31.954,12.83,54.947,-42.118,26.777,39.002,-12.225,26.007,47.016,-21.009,27.678,57.335,-29.656,5.684,38.563,-32.879,8.451,46.618,-38.168,21.994,8.864252848016658,18.772,7.809607040370213,30.756,10.528768721256741
44,rxn_2270,13.518,52.944,-39.426,23.609,52.779,-29.169,12.676,51.41,-38.734,28.738,38.138,-9.399,27.157,45.268,-18.111,27.982,54.59,-26.609,6.207,35.557,-29.35,8.478,43.12,-34.642,22.531,9.304772031252105,19.033,7.296907265606242,30.027,10.271615952989787
