,Type,rxn_smiles
43,Diels-Alder,C=C(C=CF)OC(C)=O.O=C1C=CC(=O)c2c(O)cccc21>>CC(=O)OC1=C[C@@H](F)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]2C1
44,Diels-Alder,C=C(C=CF)NC.O=C1C=CC(=O)c2c(O)cccc21>>CNC1=C[C@@H](F)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]2C1
45,Diels-Alder,C=C(C=CF)SC.O=C1C=CC(=O)c2c(O)cccc21>>CSC1=C[C@@H](F)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]2C1
46,Diels-Alder,CC=CC=CF.O=C1C=CC(=O)c2c(O)cccc21>>C[C@H]1C=C[C@@H](F)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]21
47,Diels-Alder,FC=CC=CF.O=C1C=CC(=O)c2c(O)cccc21>>O=C1c2cccc(O)c2C(=O)[C@H]2[C@@H]1[C@@H](F)C=C[C@H]2F
48,Diels-Alder,COC=CC=CF.O=C1C=CC(=O)c2c(O)cccc21>>CO[C@H]1C=C[C@@H](F)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]21
49,Diels-Alder,O=C1C=CC(=O)c2c(O)cccc21.OC=CC=CF>>O=C1c2cccc(O)c2C(=O)[C@H]2[C@@H]1[C@@H](O)C=C[C@H]2F
50,Diels-Alder,N#CC=CC=CF.O=C1C=CC(=O)c2c(O)cccc21>>N#C[C@H]1C=C[C@@H](F)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]21
51,Diels-Alder,COC(=O)C=CC=CF.O=C1C=CC(=O)c2c(O)cccc21>>COC(=O)[C@H]1C=C[C@@H](F)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]21
52,Diels-Alder,CC(=O)OC=CC=CF.O=C1C=CC(=O)c2c(O)cccc21>>CC(=O)O[C@H]1C=C[C@@H](F)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]21
53,Diels-Alder,CNC=CC=CF.O=C1C=CC(=O)c2c(O)cccc21>>CN[C@H]1C=C[C@@H](F)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]21
