,Type,rxn_smiles
86,Diels-Alder,CC(C)(C)C(C=O)=CC=O.CC(C)(C)c1ccoc1>>CC(C)(C)C1=C[C@@H]2O[C@H]1[C@@](C=O)(C(C)(C)C)[C@@H]2C=O
87,Diels-Alder,O=CC=CC=O.c1ccoc1>>O=CC1[C@H]2C=C[C@H](O2)[C@H]1C=O
88,Diels-Alder,OC=C(O)c1ccccc1.c1ccc(-c2ccoc2)cc1>>O[C@@H]1[C@@H]2C=C(c3ccccc3)[C@@H](O2)[C@@]1(O)c1ccccc1
89,Diels-Alder,O=CC(O)=CO.O=Cc1ccoc1>>O=CC1=C[C@@H]2O[C@H]1[C@@](O)(C=O)[C@@H]2O
90,Diels-Alder,OC=C(O)O.Oc1ccoc1>>OC1=C[C@@H]2O[C@H]1C(O)(O)[C@@H]2O
91,Diels-Alder,N#CC(O)=CO.N#Cc1ccoc1>>N#CC1=C[C@@H]2O[C@H]1[C@@](O)(C#N)[C@@H]2O
92,Diels-Alder,COC(=O)C(O)=CO.COC(=O)c1ccoc1>>COC(=O)C1=C[C@@H]2O[C@H]1[C@@](O)(C(=O)OC)[C@@H]2O
93,Diels-Alder,CC(=O)OC(O)=CO.CC(=O)Oc1ccoc1>>CC(=O)OC1=C[C@@H]2O[C@H]1[C@@](O)(OC(C)=O)[C@@H]2O
94,Diels-Alder,CC(C)(C)C(O)=CO.CC(C)(C)c1ccoc1>>CC(C)(C)C1=C[C@@H]2O[C@H]1[C@@](O)(C(C)(C)C)[C@@H]2O
95,Diels-Alder,OC=CO.c1ccoc1>>OC1[C@H]2C=C[C@H](O2)[C@H]1O
96,Diels-Alder,N#CC=C(C#N)c1ccccc1.c1ccc(-c2ccoc2)cc1>>N#C[C@@H]1[C@@H]2C=C(c3ccccc3)[C@@H](O2)[C@@]1(C#N)c1ccccc1
97,Diels-Alder,N#CC=C(C#N)C=O.O=Cc1ccoc1>>N#C[C@@H]1[C@@H]2C=C(C=O)[C@@H](O2)[C@@]1(C#N)C=O
98,Diels-Alder,N#CC=C(O)C#N.Oc1ccoc1>>N#C[C@@H]1[C@@H]2C=C(O)[C@@H](O2)[C@]1(O)C#N
99,Diels-Alder,N#CC=C(C#N)C#N.N#Cc1ccoc1>>N#CC1=C[C@@H]2O[C@H]1C(C#N)(C#N)[C@@H]2C#N
100,Diels-Alder,COC(=O)C(C#N)=CC#N.COC(=O)c1ccoc1>>COC(=O)C1=C[C@@H]2O[C@H]1[C@@](C#N)(C(=O)OC)[C@@H]2C#N
101,Diels-Alder,CC(=O)OC(C#N)=CC#N.CC(=O)Oc1ccoc1>>CC(=O)OC1=C[C@@H]2O[C@H]1[C@@](C#N)(OC(C)=O)[C@@H]2C#N
102,Diels-Alder,CC(C)(C)C(C#N)=CC#N.CC(C)(C)c1ccoc1>>CC(C)(C)C1=C[C@@H]2O[C@H]1[C@@](C#N)(C(C)(C)C)[C@@H]2C#N
103,Diels-Alder,N#CC=CC#N.c1ccoc1>>N#CC1[C@H]2C=C[C@H](O2)[C@H]1C#N
104,Diels-Alder,COC(=O)C=C(C(=O)OC)c1ccccc1.c1ccc(-c2ccoc2)cc1>>COC(=O)[C@@H]1[C@@H]2C=C(c3ccccc3)[C@@H](O2)[C@@]1(C(=O)OC)c1ccccc1
105,Diels-Alder,COC(=O)C=C(C=O)C(=O)OC.O=Cc1ccoc1>>COC(=O)[C@@H]1[C@@H]2C=C(C=O)[C@@H](O2)[C@]1(C=O)C(=O)OC
106,Diels-Alder,COC(=O)C=C(O)C(=O)OC.Oc1ccoc1>>COC(=O)[C@@H]1[C@@H]2C=C(O)[C@@H](O2)[C@]1(O)C(=O)OC
107,Diels-Alder,COC(=O)C=C(C#N)C(=O)OC.N#Cc1ccoc1>>COC(=O)[C@@H]1[C@@H]2C=C(C#N)[C@@H](O2)[C@]1(C#N)C(=O)OC
108,Diels-Alder,COC(=O)C=C(C(=O)OC)C(=O)OC.COC(=O)c1ccoc1>>COC(=O)C1=C[C@@H]2O[C@H]1C(C(=O)OC)(C(=O)OC)[C@@H]2C(=O)OC
109,Diels-Alder,CC(=O)Oc1ccoc1.COC(=O)C=C(OC(C)=O)C(=O)OC>>COC(=O)[C@@H]1[C@@H]2C=C(OC(C)=O)[C@@H](O2)[C@]1(OC(C)=O)C(=O)OC
110,Diels-Alder,CC(C)(C)c1ccoc1.COC(=O)C=C(C(=O)OC)C(C)(C)C>>COC(=O)[C@@H]1[C@@H]2C=C(C(C)(C)C)[C@@H](O2)[C@@]1(C(=O)OC)C(C)(C)C
111,Diels-Alder,COC(=O)C=CC(=O)OC.c1ccoc1>>COC(=O)C1[C@H]2C=C[C@H](O2)[C@H]1C(=O)OC
112,Diels-Alder,CC(=O)OC=C(OC(C)=O)c1ccccc1.c1ccc(-c2ccoc2)cc1>>CC(=O)O[C@@H]1[C@@H]2C=C(c3ccccc3)[C@@H](O2)[C@@]1(OC(C)=O)c1ccccc1
113,Diels-Alder,CC(=O)OC=C(C=O)OC(C)=O.O=Cc1ccoc1>>CC(=O)O[C@@H]1[C@@H]2C=C(C=O)[C@@H](O2)[C@]1(C=O)OC(C)=O
114,Diels-Alder,CC(=O)OC=C(O)OC(C)=O.Oc1ccoc1>>CC(=O)O[C@@H]1[C@@H]2C=C(O)[C@@H](O2)[C@]1(O)OC(C)=O
115,Diels-Alder,CC(=O)OC=C(C#N)OC(C)=O.N#Cc1ccoc1>>CC(=O)O[C@@H]1[C@@H]2C=C(C#N)[C@@H](O2)[C@]1(C#N)OC(C)=O
