,Name,Type,b2-plyp-DFT-forward,REF-forward,b2-plyp-DELTA-forward,b2-plyp-DFT-reverse,REF-reverse,b2-plyp-DELTA-reverse,b2-plyp-DFT-reaction,REF-reaction,b2-plyp-DELTA-reaction
129,02_130,"[3,3]rearrangement",29.851,35.4,-5.549,39.418,43.32,-3.902,-9.566,-7.92,-1.646
130,02_131,"[3,3]rearrangement",26.698,32.39,-5.692,40.702,43.38,-2.678,-14.004,-10.99,-3.014
131,02_132,"[3,3]rearrangement",28.121,32.92,-4.799,37.74,41.1,-3.360,-9.619,-8.18,-1.439
132,02_133,"[3,3]rearrangement",28.22,33.84,-5.620,41.144,44.83,-3.686,-12.924,-10.99,-1.934
133,02_134,"[3,3]rearrangement",28.699,32.08,-3.381,45.979,49.61,-3.631,-17.279,-17.53,0.251
134,02_135,"[3,3]rearrangement",24.673,28.35,-3.677,39.096,44.42,-5.324,-14.423,-16.07,1.647
135,02_136,"[3,3]rearrangement",25.034,29.79,-4.756,40.618,45.83,-5.212,-15.585,-16.04,0.455
136,02_137,"[3,3]rearrangement",21.811,25.98,-4.169,35.665,41.35,-5.685,-13.854,-15.37,1.516
137,02_138,"[3,3]rearrangement",27.137,31.94,-4.803,21.432,28.09,-6.658,5.705,3.85,1.855
138,02_139,"[3,3]rearrangement",31.499,34.37,-2.871,46.938,50.96,-4.022,-15.439,-16.59,1.151
139,02_140,[2+2+2]intramolecular,52.499,54.84,-2.341,139.826,144.39,-4.564,-87.327,-89.55,2.223
