,Type,Name,bhandhlyp-d3bj-DFT-forward,REF-forward,bhandhlyp-d3bj-DELTA-forward,bhandhlyp-d3bj-DFT-reverse,REF-reverse,bhandhlyp-d3bj-DELTA-reverse,bhandhlyp-d3bj-DFT-reaction,REF-reaction,bhandhlyp-d3bj-DELTA-reaction,cam-b3lyp-d3bj-DFT-forward,cam-b3lyp-d3bj-DELTA-forward,cam-b3lyp-d3bj-DFT-reverse,cam-b3lyp-d3bj-DELTA-reverse,cam-b3lyp-d3bj-DFT-reaction,cam-b3lyp-d3bj-DELTA-reaction,blyp-d3bj-DFT-forward,blyp-d3bj-DELTA-forward,blyp-d3bj-DFT-reverse,blyp-d3bj-DELTA-reverse,blyp-d3bj-DFT-reaction,blyp-d3bj-DELTA-reaction,b3lyp-d3bj-DFT-forward,b3lyp-d3bj-DELTA-forward,b3lyp-d3bj-DFT-reverse,b3lyp-d3bj-DELTA-reverse,b3lyp-d3bj-DFT-reaction,b3lyp-d3bj-DELTA-reaction,Range_DFT_forward,Std_DFT_forward,Range_DFT_reverse,Std_DFT_reverse,Range_DFT_reaction,Std_DFT_reaction
25,Diels-Alder,02_26,33.524,27.83,5.694,48.549,47.79,0.759,-15.026,-19.96,4.934,31.401,3.571,46.912,-0.878,-15.511,4.449,24.456,-3.374,28.798,-18.992,-4.343,15.617,27.429,-0.401,37.411,-10.379,-9.982,9.978,9.068000000000001,4.049005186462473,19.751,9.171543763184037,11.168,5.219323359721385
26,Diels-Alder,02_27,34.96,29.6,5.36,50.816,50.22,0.596,-15.856,-20.62,4.764,32.769,3.169,48.807,-1.413,-16.038,4.582,25.515,-4.085,30.009,-20.211,-4.494,16.126,28.64,-0.96,39.074,-11.146,-10.434,10.186,9.445,4.216887556796679,20.807000000000002,9.596493335241439,11.544,5.465639669791634
27,Diels-Alder,02_28,28.206,21.69,6.516,37.853,38.32,-0.467,-9.647,-16.63,6.983,26.983,5.293,36.252,-2.068,-9.268,7.362,22.963,1.273,18.828,-19.492,4.135,20.765,24.586,2.896,27.005,-11.315,-2.419,14.211,5.2429999999999986,2.3563622387060947,19.025000000000002,8.841940982235368,13.782,6.530921801961292
28,Diels-Alder,02_29,8.602,1.65,6.952,34.709,35.57,-0.861,-26.107,-33.92,7.813,6.449,4.799,33.306,-2.264,-26.856,7.064,0.235,-1.415,20.806,-14.764,-20.572,13.348,3.331,1.681,26.357,-9.213,-23.026,10.894,8.367,3.6554351656129804,13.903000000000002,6.45735965133325,6.2840000000000025,2.8992737452679425
29,Diels-Alder,02_30,14.5,7.98,6.52,52.526,55.02,-2.494,-38.025,-47.04,9.015,11.999,4.019,51.656,-3.364,-39.658,7.382,4.188,-3.792,42.496,-12.524,-38.308,8.732,8.217,0.237,46.626,-8.394,-38.409,8.631,10.312000000000001,4.5057049023062605,10.030000000000001,4.676458774186583,1.6330000000000027,0.7238171960746269
30,Diels-Alder,02_31,21.784,15.12,6.664,31.225,36.68,-5.455,-9.44,-21.56,12.12,18.891,3.771,31.132,-5.548,-12.241,9.319,10.527,-4.593,23.17,-13.51,-12.643,8.917,14.958,-0.162,26.464,-10.216,-11.507,10.053,11.257,4.888272701067321,8.055,3.9114458004681594,3.203000000000001,1.4250191519180837
31,Diels-Alder,02_32,13.392,6.61,6.782,51.636,54.79,-3.154,-38.245,-48.18,9.935,11.263,4.653,50.218,-4.572,-38.955,9.225,4.037,-2.573,36.984,-17.806,-32.947,15.233,7.665,1.055,42.983,-11.807,-35.318,12.862,9.355,4.114712008958423,14.652000000000001,6.800969410066972,6.007999999999996,2.7701640595218646
32,Diels-Alder,02_33,15.312,11.62,3.692,54.304,53.25,1.054,-38.992,-41.63,2.638,13.925,2.305,51.368,-1.882,-37.443,4.187,7.241,-4.379,28.846,-24.404,-21.605,20.025,10.14,-1.48,39.748,-13.502,-29.608,12.022,8.071,3.665386246131959,25.458000000000002,11.653774367131021,17.386999999999997,8.005436194653397
33,Diels-Alder,02_34,20.852,18.28,2.572,32.177,30.48,1.697,-11.325,-12.21,0.885,19.058,0.778,30.854,0.374,-11.795,0.415,15.862,-2.418,20.629,-9.851,-4.767,7.443,17.66,-0.62,25.978,-4.502,-8.319,3.891,4.99,2.1155973151807506,11.547999999999998,5.247793472816296,7.028,3.2449494603152136
34,Diels-Alder,02_35,18.669,16.53,2.139,30.524,29.81,0.714,-11.855,-13.28,1.425,16.944,0.414,29.274,-0.536,-12.33,0.95,13.628,-2.902,18.62,-11.19,-4.992,8.288,15.466,-1.064,24.138,-5.672,-8.672,4.608,5.041,2.144860115873916,11.904,5.434329520127881,7.338,3.3939589837435182
